"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacfulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking"
"71","A$AP Rocky","Fashion Killa",4.03,5.66,4.98,5.8,7.83,12.41,4.95,10.22,2.3,13.58,12.22,10.24,0.37,1.48,2
"72","Obie Trice","Got some Teeth",2.02,7.54,5.24,3.3,7.5,32.95,20.55,13.02,0,15.47,30.33,12.12,0.92,1.19,2.81
"73","CunninLynguists","Love Ain't",8.88,12.87,12.19,3.23,4.71,19.84,23.18,11.72,4.03,23.56,25.49,12.34,0.75,1.31,3.08
"74","Jay-Z","Ni**as In Paris",9.42,6.33,9.95,2.24,2.31,37.82,32.66,17.51,0,13.92,36.96,15.92,0.94,2.69,3.35
"75","CunninLynguists","Valley of Death",11.13,13.24,13.09,0,2.78,16.55,14.14,9.31,1.36,18.56,19.03,9.58,0.69,1.22,2.7
"76","Eminem","Till I Collapse",11.9,15.56,4.9,1,0,26.19,39.2,10.1,0,20.87,34.69,9.15,0.95,3.3,3.3
"77","Kendrick Lamar","Rigamortus",5.64,3.21,2.12,1.76,5.89,20.82,15.46,18.51,1.01,11.21,21.48,17.2,0.88,1.3,2.5
"78","Chinese Man","I've Got That Tune",13.91,6.29,4.93,6.16,16.63,33.2,14.7,5.85,0,21.27,30.67,5.39,0.91,1.43,3.23
"79","Kendrick Lamar","Alright",5.77,3.47,3.72,0,4.5,15.31,9.44,12.11,0,12.57,18.36,10.64,0.78,2,2.24
"80","Eminem","Shake That",5.29,1.94,7.12,0.36,5.69,23.5,9.08,6.76,0,12.24,23.18,6.18,0.86,2.36,2.88
"81","Immortal Technique","Freedom Of Speech",4.71,3.62,3.83,0.41,5.16,13.6,10.52,15.09,1.17,10.36,16.14,13.64,0.74,1.28,2.48
"82","Sage Francis","Crack Pipes",5.85,10.56,7.97,1.1,3.96,5.59,10.49,14.43,8.09,15,9.49,16.62,0.45,1.2,2.28
"83","Blackstreet","No Diggity",17.72,3.94,12.42,4.62,13.96,21.35,9.06,2.16,0,25.15,21.24,2.02,0.8,3,3.36
"84","NAS","N.Y. State of Mind",1.43,6.01,0.91,0,4.14,14.07,17.42,19.74,2.4,7.93,18.24,18.34,0.84,1.2,2.05
"85","Nicki Minaj","Moment 4 Life",8.6,14.18,2,0,2.88,27.59,31.28,9.69,0.57,18.32,32.53,8.97,0.89,2,2.95
"86","Missy Elliott","Work It",7.68,5.47,3.32,1.54,0.26,24.61,12.28,11.66,0,10.13,22.06,10.49,0.84,2.57,2.52
"87","Marteria","Kids",3.2,8.71,2.53,0,7.05,22.05,4.67,12.32,3.95,11.88,19.79,12.68,0.77,1.57,2.13
"88","Wiz Khalifa","Young, Wild & Free",14.78,7.59,14.76,5.87,5.27,36.63,10.62,4.74,0,21.36,36.6,4.3,0.83,3.28,3.22
"89","Why SL Know Plug","Rite Back",7.37,4.77,0.35,0,1.38,20.87,10.88,9.32,0.54,8.08,20.31,8.38,0.88,1.33,2.56
"90","Black Hippy","Control",2.63,5.36,0.93,0,1.56,14.93,12.75,20.73,1.09,9.16,15.82,19.16,0.88,1.22,2.48
"91","Naughty by Nature","O.P.P.",6.79,6.29,23.79,13.36,28.13,3.38,0,9.18,0.96,25.78,2.95,8.27,0.92,1.3,2.83
"92","Dr. Dre","Still D.R.E.",8.89,8.6,16.99,1.79,12.21,24.55,28.87,6.95,0,23.67,32.2,6.48,0.91,4.06,3.84
"93","Busta Rhymes","Put Your Hands Where My Eyes Can See",15.19,4.57,7.69,12.72,19.11,23.19,5.96,5.28,0.22,23.21,21.9,4.93,0.85,1.13,2.93
"94","Haftbefehl","Lass Die Affen Aus'm Zoo",3.84,7.8,3.57,0.79,2.4,15.81,19.32,27.73,0.65,13.48,24.19,25.05,0.9,1.45,2.26
"95","J. Cole","Wet Dreamz",18.64,8.5,13.67,12.97,18.98,21.48,14.22,7.18,1.4,26.83,24.18,6.38,0.7,2.23,3.48
"96","Dr. Dre","Nuthin' But A G thang",12.32,4.01,10.18,4.28,13.02,25.13,14.66,8.88,1.08,23.1,25.79,8.87,0.79,2.26,3
"97","Soul Position","Priceless",6.96,3.44,1.3,3.68,11.28,20.56,4.65,6.3,0,14.85,18.97,5.73,0.86,1.19,2.52
"98","Die Orsons","Ventilator",5.37,3.26,1.46,0.33,3.11,14.85,3.25,12.04,0.49,9.69,13.58,10.87,0.85,1.52,1.93
"99","Method Man","Part II",9.6,1.98,1.39,0.91,10.01,21.36,12.39,8.73,0,14.53,24.11,7.87,0.86,1.74,2.7
"100","Public Enemy","Harder Than You Think",13.39,5.92,4.2,0,5.23,30.54,25.14,13.02,1.75,16.12,31.5,11.86,0.91,2.1,2.9
"101","Mattafix","Big City Life",17.52,10.71,15.3,7.54,14.59,23.9,11.58,4.52,0,24.89,23.9,4.11,0.76,2.31,2.86
"102","Tyler The Creator","Yonkers",6.18,4.13,0,3.1,3.4,10.71,20.9,22.72,2.94,8.25,22.54,20.65,0.85,1.66,2.38
"103","AedFX","Warning",6.59,9.13,0,1.2,7.4,22.59,13.44,31.73,2.24,14.82,21.67,27.9,0.92,1.13,2.1
"104","brillion","Aurora",11.88,8.35,24.92,23.72,40.42,5.27,0,2.52,1.01,34.25,4.88,2.59,0.96,1.48,3.41
"105","Claptu","sad octopus",10.13,6.78,21.97,16.15,38.31,2.77,0.71,1.39,2.29,30.76,3.21,3.06,0.96,1.23,3.3
"106","Claptu","Aper",8.26,6.49,20.86,23.62,42.1,4.15,0,5.52,0.53,32.35,3.88,5.46,0.94,1.04,3.36
"107","DECAP","Panther",7.59,9.1,0.3,1.38,2.56,14.71,8.92,31.4,0,9.87,14.88,28.39,0.92,1,1.74
"108","Dexter","Everyday Like This",6.97,0.6,1.17,5.26,5.62,17.46,5.64,11.19,0.7,14.2,15.72,10.41,0.8,1.43,2.59
"109","Dj Shadow","Building Steam With A Grain of Salt",5.43,7.22,4.35,3.77,6.07,12.64,10.26,23.34,3.56,18.45,16.79,20.46,0.77,1.21,2.34
"110","Figub Brazlevic","Silent Lava",0.91,3.53,0.84,1.54,17.83,8.21,0.42,15.32,0,14.69,7.69,14.03,0.83,1.17,2.22
"111","Flo Filz","keep it real",11.23,4.47,7.2,3.07,18.8,19.82,10.57,11.45,0,19.59,20.23,10.35,0.85,1.21,2.86
"112","Idealism","controlla",14.23,5.28,24.12,18.58,38.46,6.51,2.04,0,8.32,35.69,6.77,6.97,0.93,1.22,3.52
"113","Joey Pecoraro","Your Favorite Place",16.92,21.69,14.39,26.7,44.77,13.54,5.55,6.1,1.57,37.05,14.65,6.81,0.92,1.48,3.52
"114","Lord Finesse","Midas Era",11.32,9.46,8.1,2.34,19.45,24.1,9.36,13.39,0.74,20.4,21.78,12.19,0.8,1.27,2.69
"115","monte booker","23",9.15,14.09,5.94,7.4,16.07,18.7,7.07,17.6,0,22.23,17.64,15.93,0.72,1,2.56
"116","Philanthrope","pueblo",7.52,10.43,15.09,10.95,27.09,6.14,2.52,4.04,2.31,25.86,7.16,5.19,0.89,1.24,3.03
"117","quickly quickly","swing theory",6.2,9.08,7.41,3.87,14.57,13.85,6.93,16.5,0,17.89,13.99,15.06,0.52,1.05,2.25
"118","Suff Daddy","K C Vodka",0,3.25,0.92,2,8.87,11.4,6.43,15.08,2.29,8.37,11.52,14.27,0.71,1,1.86
"119","The Deli","5:32pm",9.04,9.3,24.82,17.07,39.04,7.83,0.94,5.99,0,31.97,7.07,5.56,0.94,1.19,2.88
"120","Tom Doolie","Blue Book",11.92,8.82,19.66,22.72,37.97,7.91,0,0.35,4.05,29.22,7.29,3.48,0.95,1.21,3.62
"121","tomppabeats","one two step",20.38,3.26,3.21,8.55,14.36,35.98,11.05,1.96,0,23.56,32.14,1.83,0.95,1.04,3.48
"122","No Spirit","Glowing Lights",3.72,9.33,12.84,12.41,36.66,1.84,2.76,3.32,3.86,30.18,4.23,5.62,0.94,1.49,3.11
"123","Bartholdy","Sommernachtstraum",11.51,16.55,11.54,3.03,11.91,17.87,11.25,0.92,0.96,30.03,22.37,1.59,0.43,2.08,3.46
"124","Händel","Lascia ch'io pianga",9.34,15.99,9.01,14.77,42.24,13.08,7.05,2.1,10.6,34.42,12.18,8.48,0.81,2.17,3.08
"125","Strauss, R.","Don Juan",9.9,15.42,16.3,7.8,23.78,15.62,15.01,7.17,2.89,28.53,20.73,8.86,0.26,2.83,3.67
"126","Mozart","Overture - Marriage Of Figaro",27.31,22.06,15.89,6.95,24.85,36.74,31.2,6.18,0.82,35.02,37.45,6.49,0.92,3.47,3.97
"127","Alfvén","Midsommarvaka",22.31,20.75,5.42,21.45,26.17,17.02,10.39,2.6,0,32.28,21.82,2.44,0.69,2.25,3.33
"128","Bartok","Piano Sonata BB 88 (Sz. 80)",20.51,13.95,9.27,7.58,7.65,18.02,10.8,13.46,0,22.58,20.92,12.11,0.34,2.08,2.75
"129","Rossini","Wilhelm Tell (Ouvertüre)",18.52,14.73,9.49,10.74,4.53,37.43,33.39,2.24,6.18,29.03,42.38,7.31,0.76,3.91,3.64
"130","Borodin","Fürst Igor (Chorus)",12.62,20.57,14.07,10.04,25.06,16.65,5.29,0,4.97,37.71,17.08,4.19,0.42,2.09,3
"131","Tschaikowski","Gremin's Aria (Onegin)",14.99,12.6,8.18,9.15,20.77,7.58,8.05,8.4,3.33,27.67,10.72,8.1,0.01,2.33,2.92
"132","Bruch","Kol Nidrei, Adagio for Cello and Orchestra, op. 47",4.19,12.58,12.9,9.91,17.98,10.38,3.76,3,5.68,25.39,12.86,7.07,-0.25,2.18,2.73
"133","Chopin","Concerto for Piano n°1 in e Minor. Second movement. Larghetto",10.45,14.14,22.86,23.9,48.16,9.93,4.05,0,5.67,38.87,9.39,4.78,0.87,2,3.25
"134","Wagner","Tristan & Isolde, Liebestod",14.38,8.56,5.51,2.6,1.82,13.31,10.61,20.99,1.36,15.97,16.11,19.17,0.8,1.3,2.26
"135","Tschaikowski","Walzer (Onegin)",15.46,6.65,5.68,7.51,16.47,38.3,21.51,6.05,0,25.68,36.01,5.56,0.92,1.52,3.39
"136","Dvorák","9. Sinfonie (II. Largo)",20.49,21.14,40.71,29.18,33.82,6.52,4.31,3.5,20.06,39.59,9.69,16.39,0.92,2.91,3.94
"137","Mozart","Requiem",23.17,17.94,20.46,9.58,12.41,7.69,10.61,17.08,11.93,31.81,11.93,22.06,0.53,2.94,3.52
"138","Delibes","Coppelia. Ballet in 3 Acts. First act, prélude",18.4,17.35,5.75,3.76,18.7,38.4,25.2,5.19,0.75,27.53,36.97,5.36,0.93,1.88,3.29
"139","Holst","The Planets, op. 32. Mars",20.23,18.96,5.89,3.14,4.53,16.34,15.96,33.16,0.29,25.21,20.17,28.85,0.91,1.74,2.85
"140","Mozart","Die Zauberflöte",12.52,15.32,9.64,11.57,15.75,15.89,4.41,7,0,21.6,16.78,6.42,0.71,1.78,2.85
"141","Fauré","Romance sans Paroles",12.65,15.02,23.11,29.32,38.24,7.93,1.48,1.11,4.56,34.41,8.51,3.84,0.94,1.32,3.57
"142","Malipiero","Risonanze",16.7,27.08,19.57,12.18,8.4,14.87,24.49,12.59,6.38,33.3,27.37,14.88,0.68,2.46,3.86
"143","Liszt","Bénédiction de Dieu Dans la Solitude",13.99,17.97,28.93,24.85,43.98,6.23,3.46,4.5,0,37.74,8.82,4.21,0.95,1.43,3.61
"144","Mendelssohn","Song Without Words, op. 19, No 1",16.71,14.52,21.88,29.91,36.24,10.57,2.42,0.73,3.4,35.17,9.73,2.7,0.93,1.33,3.81
"145","Mozart","Eine kleine Nachtmusik: First movement",21.71,19.33,10.38,9.47,24.51,40.69,15.53,4.07,0,32.33,35.67,3.73,0.92,3.25,3.75
"146","Humperdinck","Hänsel und Gretel (Ouvertüre)",20.42,11.53,23.98,27.09,34.68,11.56,5.07,4.5,1.29,34.21,14.97,5.3,0.91,1.54,3.36
"147","Strawinsky","Feuervogel Suite",23.85,32.16,15.17,12.51,6.94,12.47,20.46,13.38,6.39,30.76,24.45,15.17,0.8,2.96,3.5
"148","Milhaud","Scaramouche: Brazileira",21.46,16,10.07,9.86,14.75,32.88,19.5,8.76,0,29.27,30.75,7.85,0.86,1.64,3.11
"149","Saint-Saens","Carnival of Animals: Finale",23.26,15.54,12.86,5.25,11.12,33.93,20.42,8.62,0,26.63,33.93,7.94,0.87,1.93,3.39
"150","Chopin","Impromptu No. 2",16.91,14.87,23.26,24.59,43.46,14.18,4.3,1.82,5.96,37.17,13.06,4.7,0.93,1.83,3.53
"151","Beethoven","Mondscheinsonate",22.84,20.41,26.94,13.14,30.57,10.54,4.28,7.17,21.59,35.97,10.56,20.11,0.8,2.9,3.67
"152","Beethoven","9. Symphonie, 2. Satz (Toscanini)",6.95,13.29,9.68,1.14,8.64,27.03,23.31,14.75,0,25.3,32.55,13.31,0.87,1.87,3.74
"153","Debussy","Clair de lune",15.12,14.75,27.66,19.58,26.46,3.48,3.48,4.37,6.45,32.07,5.52,9.48,0.88,2.61,3.58
"154","Beethoven","Symphony No.5 in C minor Op.67",14.81,18.32,11.87,5.64,7.31,25.09,36.01,25.12,1.53,24.24,34.22,23.33,0.9,4.03,3.74
"155","Tschaikowski","Schwanensee",21.49,23.08,18.59,18.85,8.31,18.87,16.66,5.98,8.33,26.8,22.31,8.26,0.71,3.23,3.62
"156","Debussy","Prélude à l'après-midi d'un faune",20.1,14.42,24.22,12.22,22.03,11.03,2.47,5.3,6.69,31.57,11.32,10.53,0.77,1.69,3.15
"157","Ligeti","Etüde Arc en Ciel",13.22,15.67,16.95,9.01,16.3,3.66,0.72,20.08,6.39,23.15,4.07,20.58,0.73,1.38,2.65
"158","Händel","Sinfonie in B-Dur (HWV 339)",14.65,7.82,2.97,6.77,6.67,28.08,19.9,8.83,0,19.32,30.16,8.06,0.88,1.9,3.21
"159","Mahler","6. Symphony, Andante, (Karajan)",14.35,11.25,12.81,13.86,20.58,6.14,6.93,3.17,5.1,28.36,10.79,6.33,0.66,1.59,3.31
"160","Messiaen","Quatuor pour la fin du Temps",10.18,14.68,8.68,6.83,5.61,4.26,1.03,20.55,19.53,19.56,3.93,27.87,0.79,1.5,2.5
"161","Mozart","Overtüre - Die Entführung aus dem Serail",16.84,15.53,9.58,5.44,9.51,27.7,26.94,4.6,0.48,25.8,31.41,4.68,0.88,2,3.04
"162","Beethoven","Sinfonie Nr. 6",19.39,13.44,8.08,14.49,16.65,17.08,9.08,1.62,2.38,29.55,18.12,3.46,0.73,1.64,3
"163","Mozart","Laudate Dominum",15.1,21.03,2.54,3.43,8.07,12.94,17.3,18.18,2.31,25.6,21.57,16.72,0.77,1.5,2.68
"164","Chopin","Etüde Op. 25 No. 1",16.16,17.79,16.93,22.35,21.58,12.03,6.33,0.67,3.33,33.53,12.01,3.44,0.81,1.85,3.48
"165","Albinoni","Concerto a cinque No. 2, Op. 9",16.95,14.01,18.89,14.84,20.73,18.2,13.64,4.18,2.36,33.01,22.59,5.43,0.63,1.89,3.48
"166","Brahms","Klaviersonate Nr. 3 (Zwei Klaviere)",10.5,14.07,8.05,10.56,11.81,11.76,20.61,12.65,5.93,23.16,19.65,16.29,0.19,1.96,3.22
"167","Händel","Der Messias (Hallelujah)",10.01,11.02,8.27,8.32,11.97,7.62,19.24,9.78,3.96,22.95,20.88,12.43,0.4,1.94,2.81
"168","Palestrina","Missa Brevis (Kyrie)",14.03,21.83,16.12,12.33,27.02,2.45,6.54,6.67,6.56,30.5,8.23,11.47,0.83,2.06,2.94
"169","Brahms","Klavierquartett Nr. 3 in C-Moll, 3. Satz",15.38,6.93,25.04,21.36,24.47,1.56,0,10.74,11.91,33.03,1.46,17.39,0.86,1.74,3.19
"170","Tschaikowski","Symphony, 1 Scherzo",11.38,13.16,8.66,6.19,12.04,21.09,11.73,12.06,0,22.19,21.77,10.76,0.8,1.91,3.25
"171","Bartok","Sonata 2 pianos percussion",13.78,13.98,3.72,2.36,6.72,12.12,9.82,27.35,0,21.2,14.23,24.22,0.91,1.37,2.44
"172","Schumann","Fantasie in C-Dur",15.5,16.3,22.83,11.48,21.18,10.22,5.94,4.62,3.86,30.44,12.18,7.24,0.84,1.81,3.28
"173","Schumann","Kinderszenen",8.85,6.89,4.6,5.27,20.19,20.13,7.2,8.96,0,23.29,18.94,8.23,0.82,1.4,2.8
"174","Grieg","Norwegische Tänze",18.48,18.51,1.56,2.16,4.74,26.69,29.56,19.45,0.69,23.38,33.37,18.23,0.93,1.57,3.1
"175","Schumann","Études Symphoniques",16.99,16.16,29.71,27.6,35.44,11.5,1.58,4.13,4.47,35.34,12.05,5.58,0.91,1.47,3.47
"176","J.S. Bach","Konzert 2 Violinen, 2. Satz",15.97,7.57,22.33,20.51,40.18,9.3,3.34,3.38,5.24,31.35,11.66,4.71,0.92,1.4,3.4
